"basvuruid","kursiyerid","zamandamgası","suankidurum","itphegitimkatılmak","ekonomikdurum","dilkursunadevam","ingilizceseviye","hollandacaseviye","baskigoruyor","bootcampbitirdi","onlineitkursu","ittecrube","projedahil","calismaistegi","nedenkatılmakistiyor","basvurudonemi"
1,1,"4.29.2023 13:55:18","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Tester","Uitkering Alıyorum","Evet","B1","B1","Kısmen","Hayır","Hayır","Evet","Hayır","Tester, Web Tasarım, Software Developer, Data Engineer, Cyber Security","Teknik bir iş olduğu için daha az dil gereksinimi olduğunu düşündünüyorum, Bu sektörde çok fazla eleman ihtiyacı olduğu için, IT ile ilgili eğitimim veya iş tecrübem olduğu için, İngilizce çalışabilme imkanı olduğu için, Bu mesleği yapabileceğime inanıyorum","VIT3"
2,2,"4.29.2023 13:55:18","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Tester","Uitkering Alıyorum","Evet","B1","B1","Kısmen","Hayır","Hayır","Evet","Hayır","Tester, Web Tasarım, Software Developer, Data Engineer, Cyber Security","Teknik bir iş olduğu için daha az dil gereksinimi olduğunu düşündünüyorum, Bu sektörde çok fazla eleman ihtiyacı olduğu için, IT ile ilgili eğitimim veya iş tecrübem olduğu için, İngilizce çalışabilme imkanı olduğu için, Bu mesleği yapabileceğime inanıyorum","VIT3"
3,3,"4.29.2023 21:44:05","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","İngilizce eğitimine ihtiyacım var.","Uitkering Alıyorum","Evet","A2","A2","Bir yillik sure zarfinda calismaya baslamam bekleniyor.","Hayır","Hayır","Hayır","Hayır","Data Engineer, Datascience alaninda calismak istiyorum.","Bu sektörde çok fazla eleman ihtiyacı olduğu için, İngilizce çalışabilme imkanı olduğu için, Bu mesleği yapabileceğime inanıyorum, Bu alana ilgim ve istegim var.","VIT3"
4,4,"4.29.2023 21:44:05","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","İngilizce eğitimine ihtiyacım var.","Uitkering Alıyorum","Evet","A2","A2","Bir yillik sure zarfinda calismaya baslamam bekleniyor.","Hayır","Hayır","Hayır","Hayır","Data Engineer, Datascience alaninda calismak istiyorum.","Bu sektörde çok fazla eleman ihtiyacı olduğu için, İngilizce çalışabilme imkanı olduğu için, Bu mesleği yapabileceğime inanıyorum, Bu alana ilgim ve istegim var.","VIT3"
5,5,"4.29.2023 23:39:58","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Cybersecurity eğitimine katılmak istiyorum","Uitkering Alıyorum","Hayır","A1","B1","Hayır","Pyton aldim 2019da ama buyuk oranda unuttum","Hayır","Hayır","Hayır","Tester, Web Tasarım, Cyber Security","Çevremde bir çok kişi bu sektöre girdiği için, Kararsızım ama bir eğitim alıp yapıp yapamayacağımı görmek istiyorum?, Bu sektördeki maaşların iyi olduğunu düşünüyorum, Bu sektörde çok fazla eleman ihtiyacı olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
6,6,"4.30.2023 12:19:21","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Cybersecurity eğitimine katılmak istiyorum","Uitkering Alıyorum","Evet","A2","A1","Hayır","Evet","Evet","Evet","Hayır","Cyber Security","IT ile ilgili eğitimim veya iş tecrübem olduğu için, İngilizce çalışabilme imkanı olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
7,7,"4.30.2023 12:41:56","Kampta, oturum görüşmesi bekliyorum","Cybersecurity eğitimine katılmak istiyorum","Uitkering Alıyorum","Hayır","B2 ve üzeri","A1","Hayır","Evet","Hayır","Evet","Hayır","Tester, Scrum Master, DevOps Engineer, Web Tasarım, Software Developer, Cyber Security","Bu sektörde çok fazla eleman ihtiyacı olduğu için, IT ile ilgili eğitimim veya iş tecrübem olduğu için, İngilizce çalışabilme imkanı olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
8,8,"4.30.2023 14:38:18","Kampta, oturum aldım, belediyem belli , ev bekliyorum","Full stack, desktop ve embedded deneyimim var.","Diğer","Evet","B1","A1","Kampta kalıyorum","Şu anda bir IT (Bootcamp) kursuna devam ediyorum","Evet","Hayır","Hayır","Tester, DevOps Engineer, Web Tasarım, Software Developer","Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
9,9,"4.30.2023 21:38:19","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Ingilizce seviyemin artmasi icin kursa ihtiyacim var.","Uitkering Alıyorum","Evet","B1","A2","Kısmen","Hayır","Evet","Hayır","Hayır","Data Engineer, Cyber Security","Bu sektördeki maaşların iyi olduğunu düşünüyorum, Bu sektörde çok fazla eleman ihtiyacı olduğu için, İngilizce çalışabilme imkanı olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
10,10,"5.1.2023 01:39:19","Kampta, oturum görüşmesi bekliyorum","Software Testing","Diğer","Hayır","B1","A1","Belediyem belli degil","Evet","Evet","Evet","Hayır","Web Tasarım, Software Developer, Data Engineer, Cyber Security","IT ile ilgili eğitimim veya iş tecrübem olduğu için, İngilizce çalışabilme imkanı olduğu için","VIT3"
11,11,"5.1.2023 16:41:41","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Data Engineer/ cloud Engineer","Kısmen Uitkering Alıyorum - Parttime Çalışıyorum","Hayır","A2","B2 ve üzeri","Hayır","Evet","Evet","Hayır","Hayır","Tester","Teknik bir iş olduğu için daha az dil gereksinimi olduğunu düşündünüyorum, Bu sektörde çok fazla eleman ihtiyacı olduğu için, Ingilizce seviyemin artmasi icin dil destegine ihtiyacim var.","VIT3"
12,12,"5.2.2023 22:02:10","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Cybersecurity eğitimine katılmak istiyorum","Uitkering Alıyorum","Hayır","B2 ve üzeri","A2","Hayır","Evet","Evet","Hayır","Hayır","Tester","Kararsızım ama bir eğitim alıp yapıp yapamayacağımı görmek istiyorum?, Teknik bir iş olduğu için daha az dil gereksinimi olduğunu düşündünüyorum, Bu sektördeki maaşların iyi olduğunu düşünüyorum, Bu sektörde çok fazla eleman ihtiyacı olduğu için, İngilizce çalışabilme imkanı olduğu için","VIT3"
13,13,"5.3.2023 23:54:00","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Powerplatform eğitimine katılmak istiyorum","Uitkering Alıyorum","Hayır","B2 ve üzeri","B1","Kısmen","Evet","Evet","Hayır","Hayır","Cloud Engineer, Tester, Scrum Master, DevOps Engineer, Data Engineer, Cyber Security","İngilizce çalışabilme imkanı olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
14,14,"5.4.2023 01:19:08","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Salesforce","Uitkering Alıyorum","Evet","B1","B1","Kısmen","Hayır","Hayır","Hayır","Hayır","Kararsızım","IT ile ilgili eğitimim veya iş tecrübem olduğu için, İngilizce çalışabilme imkanı olduğu için, Bu mesleği yapabileceğime inanıyorum","VIT3"
15,15,"5.6.2023 00:23:13","Kampta, oturum görüşmesi bekliyorum","Cybersecurity eğitimine katılmak istiyorum","Diğer","Hayır","B2 ve üzeri","A1","Hayır","Hayır","Evet","Evet","Hayır","Scrum Master, Software Developer, IT project management","IT ile ilgili eğitimim veya iş tecrübem olduğu için, İngilizce çalışabilme imkanı olduğu için","VIT3"
16,16,"5.6.2023 22:55:32","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Powerplatform eğitimine katılmak istiyorum","Uitkering Alıyorum","Hayır","B2 ve üzeri","A1","Hayır","Evet","Evet","Hayır","Hayır","Salesforce admin/developer","Bu sektördeki maaşların iyi olduğunu düşünüyorum, İngilizce çalışabilme imkanı olduğu için, Bu mesleği yapabileceğime inanıyorum","VIT3"
17,17,"5.6.2023 23:34:21","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","İngilizcemin yeterli olup olmadığını bilmiyorum","Uitkering Alıyorum","Evet","A1","A2","Kısmen","Hayır","Hayır","Evet","Hayır","Cyber Security","Teknik bir iş olduğu için daha az dil gereksinimi olduğunu düşündünüyorum, Bu sektörde çok fazla eleman ihtiyacı olduğu için, Bu mesleği yapabileceğime inanıyorum","VIT3"
18,18,"5.7.2023 13:32:15","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Cybersecurity eğitimine katılmak istiyorum","Uitkering Alıyorum","Evet","A1","B1","Kısmen","Python kursu bitirdim. html, css, javaschript genel online ders aldım.","Evet","Hayır","Evet","Cloud Engineer, Tester, Web Tasarım, Software Developer","Teknik bir iş olduğu için daha az dil gereksinimi olduğunu düşündünüyorum, Bu sektördeki maaşların iyi olduğunu düşünüyorum, Bu sektörde çok fazla eleman ihtiyacı olduğu için, IT ile ilgili eğitimim veya iş tecrübem olduğu için, Bu mesleği yapabileceğime inanıyorum","VIT3"
19,19,"5.10.2023 10:23:17","Kampta, oturum aldım, belediyem belli , ev bekliyorum","Cybersecurity eğitimine katılmak istiyorum","Uitkering Alıyorum","Evet","A1","A1","Hayır","Hayır","Hayır","Hayır","Hayır","Kararsızım, Hiç bir fikrim yok, Tester","Kararsızım ama bir eğitim alıp yapıp yapamayacağımı görmek istiyorum?, Diğer sektörler hakkındaki iş imkanları hakkında yeterince bilgim yok, Bu sektördeki maaşların iyi olduğunu düşünüyorum, Bu sektörde çok fazla eleman ihtiyacı olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
20,20,"5.10.2023 10:23:17","Kampta, oturum aldım, belediyem belli , ev bekliyorum","Cybersecurity eğitimine katılmak istiyorum","Uitkering Alıyorum","Evet","A1","A1","Hayır","Hayır","Hayır","Hayır","Hayır","Kararsızım, Hiç bir fikrim yok, Tester","Kararsızım ama bir eğitim alıp yapıp yapamayacağımı görmek istiyorum?, Diğer sektörler hakkındaki iş imkanları hakkında yeterince bilgim yok, Bu sektördeki maaşların iyi olduğunu düşünüyorum, Bu sektörde çok fazla eleman ihtiyacı olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
21,21,"5.10.2023 10:29:25","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Bu eğitimler ilgi alanım dışında başka alanlardaki eğitimlere katılmak istiyorum","Uitkering Alıyorum","Evet","B1","A2","Evet","Evet","Evet","Hayır","Hayır","Cloud Engineer, Cyber Security","IT ile ilgili eğitimim veya iş tecrübem olduğu için, İngilizce çalışabilme imkanı olduğu için, Bu mesleği yapabileceğime inanıyorum","VIT3"
22,22,"5.10.2023 12:35:18","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Bu eğitimler ilgi alanım dışında başka alanlardaki eğitimlere katılmak istiyorum","Uitkering Alıyorum","Hayır","A2","B2 ve üzeri","Kısmen","Hayır","Evet","Hayır","Hayır","Kararsızım, Cyber Security","Çevremde bir çok kişi bu sektöre girdiği için, Bu sektörde çok fazla eleman ihtiyacı olduğu için, Bu mesleği yapabileceğime inanıyorum","VIT3"
23,23,"5.11.2023 09:28:25","Kampta, oturum görüşmesi bekliyorum","Cybersecurity eğitimine katılmak istiyorum","Uitkering Alıyorum","Hayır","A2","A1","HENUZ KAMPTA KALIYORUM.","Hayır","Hayır","Hayır","Hayır","Kararsızım, Data Engineer","İngilizce çalışabilme imkanı olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
24,24,"5.18.2023 11:19:09","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Cybersecurity eğitimine katılmak istiyorum","Eşim Çalıştığı için uitkering almıyoruz","Evet","B2 ve üzeri","B1","Hayır","Evet","Hayır","Hayır","Hayır","Cloud Engineer","Bu sektördeki maaşların iyi olduğunu düşünüyorum, IT ile ilgili eğitimim veya iş tecrübem olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
25,25,"5.21.2023 16:51:57","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Bu eğitimler ilgi alanım dışında başka alanlardaki eğitimlere katılmak istiyorum","Uitkering Alıyorum","Evet","A2","B2 ve üzeri","Kısmen","Hayır","Hayır","Hayır","Evet","Kararsızım","Bu sektördeki maaşların iyi olduğunu düşünüyorum, Bu sektörde çok fazla eleman ihtiyacı olduğu için","VIT3"
26,26,"5.21.2023 21:35:50","Kampta, oturum aldım, belediyem belli , ev bekliyorum","İngilizcemi geliştirmek istiyorum.","Diğer","Evet","B1","A1","Hayır","Evet","Evet","Hayır","Hayır","Data Engineer, Data Science, Data Analyst","IT ile ilgili eğitimim veya iş tecrübem olduğu için, Bu mesleği yapabileceğime inanıyorum","VIT3"
27,27,"5.21.2023 22:49:30","Kampta, oturum görüşmesi bekliyorum","Cybersecurity eğitimine katılmak istiyorum","Diğer","Hayır","A2","A1","Henüz belediye belirlenmedi","Hayır","Evet","Evet","Hayır","Tester, Web Tasarım, Software Developer","IT ile ilgili eğitimim veya iş tecrübem olduğu için","VIT3"
28,28,"5.21.2023 23:19:31","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Cybersecurity eğitimine katılmak istiyorum","Uitkering Alıyorum","Evet","A2","A1","Hayır","Evet","Evet","Evet","Hayır","Cyber Security","IT ile ilgili eğitimim veya iş tecrübem olduğu için, İngilizce çalışabilme imkanı olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
29,29,"5.21.2023 23:49:48","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Cybersecurity eğitimine katılmak istiyorum","Diğer","Evet","A2","A2","Kısmen","Hayır","Evet","Hayır","Hayır","Data Engineer, Cyber Security, Data Analysis","Bu sektördeki maaşların iyi olduğunu düşünüyorum, Bu sektörde çok fazla eleman ihtiyacı olduğu için, İngilizce çalışabilme imkanı olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
30,30,"5.22.2023 15:42:43","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Bu eğitimler ilgi alanım dışında başka alanlardaki eğitimlere katılmak istiyorum","Uitkering Alıyorum","Hayır","A2","A2","Hayır","Hayır","Hayır","Hayır","Hayır","Software Developer, Cyber Security","Bu mesleği yapabileceğime inanıyorum","VIT3"
31,31,"5.22.2023 15:42:43","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Bu eğitimler ilgi alanım dışında başka alanlardaki eğitimlere katılmak istiyorum","Uitkering Alıyorum","Hayır","A2","A2","Hayır","Hayır","Hayır","Hayır","Hayır","Software Developer, Cyber Security","Bu mesleği yapabileceğime inanıyorum","VIT3"
32,32,"5.16.2021 22:55:32","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Powerplatform eğitimine katılmak istiyorum","Uitkering Alıyorum","Hayır","B2 ve üzeri","A1","Hayır","Evet","Evet","Hayır","Hayır","Salesforce admin/developer","Bu sektördeki maaşların iyi olduğunu düşünüyorum, İngilizce çalışabilme imkanı olduğu için, Bu mesleği yapabileceğime inanıyorum","VIT3"
33,33,"5.21.2023 23:19:31","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Cybersecurity eğitimine katılmak istiyorum","Uitkering Alıyorum","Evet","A2","A1","Hayır","Evet","Evet","Evet","Hayır","Cyber Security","IT ile ilgili eğitimim veya iş tecrübem olduğu için, İngilizce çalışabilme imkanı olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
